data,link_DOE,link_DOE_EXTRA
22/06/2020,https://drive.google.com/file/d/1wlDpyt1xHJRmRdX3xG5vaFJfWmgKS_Zm/view?usp=sharing,https://drive.google.com/file/d/1VmU8oDwLd2KrSsIeAkSb1KLx5J0NH3Zs/view?usp=sharing
23/06/2020,https://drive.google.com/file/d/1NSvfE3v1AMNRJ3Nk47nJWO-51QwGZuuf/view?usp=sharing,-
24/06/2020,https://drive.google.com/file/d/1RT7C5A4TxSylkwNSPME6Nn3sglNoKLD_/view?usp=sharing,-
25/06/2020,https://drive.google.com/file/d/15oCcOr_pFc_p7hTT4G8RSbAZPGmqKNQx/view?usp=sharing,-
26/06/2020,https://drive.google.com/file/d/1Zu-axsNC9fTfHlmRKLqZ1aoRax1BTdvt/view?usp=sharing,https://drive.google.com/file/d/1kJLM3dnbVfXGUOKM6YisSc9f6Zzs5xww/view?usp=sharing
29/06/2020,https://drive.google.com/file/d/19FDLY0R0UXgI6M9fsmSL2NHc6FDt1uhc/view?usp=sharing,-
30/06/2020,https://drive.google.com/file/d/16_DV80wWLdCqwctjFkNHEqyqyqyl1BNc/view?usp=sharing,-
01/07/2020,https://drive.google.com/file/d/1XXWIOJsUvTHEkEUzy9QK1KWGQLeLyMkq/view?usp=sharing,https://drive.google.com/file/d/1RSDbc4PgvbznFhc69Hk4TTzGHa7mTkNN/view?usp=sharing
02/07/2020,https://drive.google.com/file/d/11ZdAyHAQSKqnWsCy4NrtG564nmEFVwaU/view?usp=sharing,https://drive.google.com/file/d/1oWiS_StcySPU62P-4fjeLtMiCvdZ6NDI/view?usp=sharing
03/07/2020,https://drive.google.com/file/d/1LugAIS2MzJoEdeM3iWVAocc90je9jV3g/view?usp=sharing,-
06/07/2020,https://drive.google.com/file/d/12R2UO1Mo5bbvMcWTx-DaRXk3jyw1qONR/view?usp=sharing,-
07/07/2020,https://drive.google.com/file/d/1ZUqSknXB6j9dyVDxP2Adt8ml2hz0c4UG/view?usp=sharing,-
08/07/2020,https://drive.google.com/file/d/1bnDhBDOqtMSfO_hjcgIEQAJH6fm3-zDI/view?usp=sharing,-
09/07/2020,https://drive.google.com/file/d/1bU4pTzp7K7OgtQW70S9rtUnZK-COH6Jn/view?usp=sharing,-
10/07/2020,https://drive.google.com/file/d/1dscU4fv5xofRov-8yrSayECOguKUzxGi/view?usp=sharing,https://drive.google.com/file/d/1okckpGZbem9DyXP-NXpkFoMPoPxjFXZx/view?usp=sharing
13/07/2020,https://drive.google.com/file/d/1pWKsKlW-jMmjWYyKThdw0RWIlPiBpURk/view?usp=sharing,-
14/07/2020,https://drive.google.com/file/d/1t2S7dcq0nqpFzAU7zD6ApyHOop76OFtv/view?usp=sharing,-
15/07/2020,https://drive.google.com/file/d/1q19CxEo7u5uNgWSWNFi7JEwgXFdMSdHu/view?usp=sharing,https://drive.google.com/file/d/1J6YgYs2HCM032o37dm8e1FfctZxcrLih/view?usp=sharing
16/07/2020,https://drive.google.com/file/d/1QMlzYBNcd1k5ZXrAGMM-wYUWdSRFAr0w/view?usp=sharing,-
17/07/2020,https://drive.google.com/file/d/1OA397LXIbOheveoizTVbsCwfgcejd6ur/view?usp=sharing,https://drive.google.com/file/d/1GFdp3TDoL56msOHzdfRR16HrM6TnDaLS/view?usp=sharing
20/07/2020,https://drive.google.com/file/d/11D-vKYnrFy3U0sdODxFCSC_ICzhB--3G/view?usp=sharing,-
21/07/2020,https://drive.google.com/file/d/1fghd_9nvj7GJFS5JqjjVvJghAwlElKdx/view?usp=sharing,-
